id,name,base_experience,weight,height,order,front_default,BMI
1,Bulbasaur,64,69.0,7.0,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,483.0
2,Ivysaur,142,130.0,10.0,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,1300.0
3,Venusaur,263,1000.0,20.0,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,20000.0
4,Charmander,62,85.0,6.0,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,510.0
5,Charmeleon,142,190.0,11.0,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,2090.0
6,Charizard,267,905.0,17.0,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,15385.0
7,Squirtle,63,90.0,5.0,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,450.0
8,Wartortle,142,225.0,10.0,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,2250.0
9,Blastoise,265,855.0,16.0,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,13680.0
10,Caterpie,39,29.0,3.0,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,87.0
11,Metapod,72,99.0,7.0,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,693.0
12,Butterfree,198,320.0,11.0,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,3520.0
13,Weedle,39,32.0,3.0,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,96.0
14,Kakuna,72,100.0,6.0,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,600.0
15,Beedrill,178,295.0,10.0,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,2950.0
16,Pidgey,50,18.0,3.0,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,54.0
17,Pidgeotto,122,300.0,11.0,22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,3300.0
18,Pidgeot,216,395.0,15.0,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,5925.0
19,Rattata,51,35.0,3.0,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,105.0
20,Raticate,145,185.0,7.0,27,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,1295.0
21,Spearow,52,20.0,3.0,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,60.0
22,Fearow,155,380.0,12.0,31,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,4560.0
23,Ekans,58,69.0,20.0,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,1380.0
24,Arbok,157,650.0,35.0,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,22750.0
25,Pikachu,112,60.0,4.0,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,240.0
26,Raichu,243,300.0,8.0,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,2400.0
27,Sandshrew,60,120.0,6.0,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,720.0
28,Sandslash,158,295.0,10.0,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,2950.0
29,Nidoran-f,55,70.0,4.0,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,280.0
30,Nidorina,128,200.0,8.0,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,1600.0
31,Nidoqueen,253,600.0,13.0,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,7800.0
32,Nidoran-m,55,90.0,5.0,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,450.0
33,Nidorino,128,195.0,9.0,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,1755.0
34,Nidoking,253,620.0,14.0,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,8680.0
35,Clefairy,113,75.0,6.0,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,450.0
36,Clefable,242,400.0,13.0,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,5200.0
37,Vulpix,60,99.0,6.0,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,594.0
38,Ninetales,177,199.0,11.0,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,2189.0
39,Jigglypuff,95,55.0,5.0,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,275.0
40,Wigglytuff,218,120.0,10.0,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,1200.0
41,Zubat,49,75.0,8.0,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,600.0
42,Golbat,159,550.0,16.0,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,8800.0
43,Oddish,64,54.0,5.0,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,270.0
44,Gloom,138,86.0,8.0,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,688.0
45,Vileplume,245,186.0,12.0,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,2232.0
46,Paras,57,54.0,3.0,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,162.0
47,Parasect,142,295.0,10.0,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,2950.0
48,Venonat,61,300.0,10.0,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,3000.0
49,Venomoth,158,125.0,15.0,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,1875.0
50,Diglett,53,8.0,2.0,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,16.0
51,Dugtrio,149,333.0,7.0,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,2331.0
52,Meowth,58,42.0,4.0,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,168.0
